Variable,Category,Coefficient,HR,SE,P_Value,Overall_P
age,＜45,-0.01718244675598464,0.982964329620849,0.1787777406763325,0.9234326845754368,0.0042671921549518625
age,＞60,0.38726020770036246,1.47293971166767,0.13458417259819253,0.004008941829044067,0.0042671921549518625
sex,男,0.19997398507374584,1.2213709838707945,0.11895035035204708,0.09273279720835384,0.09401484486530004
site,喉和下咽,-0.30834370042908466,0.7346627707017231,0.41179346508451975,0.4539883674277212,0.006509621343132817
site,大唾液腺,-0.2572336928933799,0.7731875042260162,0.13635701719397317,0.0592313801394029,0.006509621343132817
site,鼻腔鼻窦副鼻窦鼻咽,0.28120022257137633,1.32471881599134,0.16350348998720982,0.08546110644893927,0.006509621343132817
grade,2中分化,0.581836461610742,1.7893214353967706,0.3054454864316807,0.05679589999929944,7.063418425507317e-07
grade,3分化差,1.268460082699831,3.5553733637305305,0.31999513410608094,7.37048592611847e-05,7.063418425507317e-07
grade,4未分化间变性,1.7593463952251513,5.808639598831959,0.3367884628125658,1.7520144366100723e-07,7.063418425507317e-07
grade,不明,0.7588026935444852,2.1357175806180257,0.270509149785268,0.005030242664551897,7.063418425507317e-07
radiotherapy,Yes,-0.08868244845962461,0.9151361303264767,0.12865821073464856,0.49064259717636505,0.4931129589659171
chemotherapy,Yes,1.2881567996422512,3.626096769475833,0.14920115085224017,5.940275583469748e-18,2.0638075762085515e-14
tumor_number,＞1,-0.3396010782343397,0.7120543200791,0.1512265912621447,0.024726823626122465,0.02028104133872413
race,其他,0.2711734742330548,1.311502562553191,0.3793356900446592,0.47469300971692086,0.18510580303702853
race,白,0.1762499846038405,1.1927361870685702,0.3688733623827022,0.6327881381843244,0.18510580303702853
race,黑,0.5983714900634373,1.819153876677598,0.40053570329353805,0.1351944469842147,0.18510580303702853
marital_status,分居,-0.7111461031407544,0.4910810452790078,0.6947421647193411,0.3060187882648914,0.7788726528005967
marital_status,同居未婚,-2.195533697420825,0.11129914558432276,2.509836933043438,0.3816982735598632,0.7788726528005967
marital_status,已婚,-0.15235370265157944,0.8586845080343226,0.19284909041549983,0.4295189219993101,0.7788726528005967
marital_status,未婚,-0.08567236168738304,0.9178949195015458,0.2211574588219536,0.6984736183631843,0.7788726528005967
marital_status,未知,0.0036105795990122656,1.0036171055933762,0.2896395339046905,0.9900540127608765,0.7788726528005967
marital_status,离异,-0.07503811673117629,0.9277081244534278,0.2622452554833002,0.774773059282596,0.7788726528005967
T,T1,-1.091571348708784,0.33568859521840055,0.3717769723560057,0.003323758624981177,9.532773947134194e-21
T,T2,-0.17206676827303935,0.8419229575499031,0.36539191700640156,0.6377048880677592,9.532773947134194e-21
T,T3,0.12215796357270142,1.1299325758703413,0.36586773378317206,0.7384658951447256,9.532773947134194e-21
T,T4,1.4690282748629242,4.34501093266625,0.5362254518195709,0.006151922408728021,9.532773947134194e-21
T,T4A,0.4650964489734882,1.592167744426416,0.36236156861402424,0.19931176556320623,9.532773947134194e-21
T,T4B,0.9181977253071563,2.5047720322534137,0.37686209102984525,0.01483308132223912,9.532773947134194e-21
T,T4NOS,-2.7479961757179487,0.06405608983820942,3.6632223859036395,0.45315945279649106,9.532773947134194e-21
T,TX,0.45368943933876194,1.574109065205233,0.38779019029452527,0.24202699988632873,9.532773947134194e-21
N,N1,0.9665981898036511,2.6289859192606873,0.20777259459081504,3.2842362834674824e-06,1.0
N,N2,-40.584922179104815,2.366967251020885e-18,5.77933746113862,2.1806132141785786e-12,1.0
N,N2A,2.9656654806699065,19.40761433714293,0.359587535509852,1.6186565693155807e-16,1.0
N,N2B,1.4687685551071865,4.343882594020402,0.220632092521685,2.7929478426397592e-11,1.0
N,N2C,1.4395158525067917,4.218652872280346,0.6326091065720246,0.022874642698680562,1.0
N,N3,2.517912807351734,12.402682840970598,0.6653015343682299,0.0001539442531351556,1.0
N,N3B,2.5432529504509533,12.720984471190661,0.33915514885577513,6.441003759690325e-14,1.0
N,NX,0.9998922237885727,2.717988878128804,0.2363085591333723,2.3234533207987683e-05,1.0
M,M1,1.7534864722337993,5.774700954137804,0.15050951030580148,2.2855398471636016e-31,5.328761612642483e-22
M,MX,1.0865105211193897,2.963913493026384,0.7113510087799837,0.12666402532176396,5.328761612642483e-22
