Variable,N_Categories,N_Events,P_Value,C_Index,Selected
M,3,409,7.382648862606021e-22,0.5882264566692541,True
T,9,409,3.789546790465747e-16,0.6468041331764195,True
age,3,409,7.733139009388581e-16,0.6015766498902438,True
N,9,409,8.329763419536599e-16,0.6054055971488428,True
chemotherapy,2,409,2.914251194636074e-12,0.5594749230037309,True
grade,5,409,8.177135359321098e-06,0.5715418450726562,True
site,4,409,0.0009473252598249982,0.5428779494370299,True
radiotherapy,2,409,0.019159710566692318,0.5370479338291142,True
sex,2,409,0.02681879362211675,0.5351616295665673,True
tumor_number,2,409,0.03437367825200472,0.5231614793299446,True
marital_status,7,409,0.0902299597863985,0.5402467219203579,False
race,4,409,0.23059685315823206,0.5201045813823438,False
